Date,Power (kW)
2019-02-01 11:00:00,385.766
2019-02-01 12:00:00,391.831
2019-02-01 13:00:00,370.568
2019-02-01 14:00:00,371.217
2019-02-01 15:00:00,368.27
2019-02-01 16:00:00,358.216
2019-02-01 17:00:00,358.86
2019-02-01 18:00:00,328.586
2019-02-01 19:00:00,229.855
2019-02-01 20:00:00,187.059
2019-02-01 21:00:00,148.49
2019-02-01 22:00:00,130.318
2019-02-01 23:00:00,135.535
2019-02-02 00:00:00,130.831
2019-02-02 01:00:00,125.631
2019-02-02 02:00:00,125.722
2019-02-02 03:00:00,120.144
2019-02-02 04:00:00,114.123
2019-02-02 05:00:00,112.002
2019-02-02 06:00:00,110.139
2019-02-02 07:00:00,124.688
2019-02-02 08:00:00,132.556
2019-02-02 09:00:00,133.477
2019-02-02 10:00:00,146.084
2019-02-02 11:00:00,149.307
2019-02-02 12:00:00,150.49
2019-02-02 13:00:00,145.661
2019-02-02 14:00:00,149.553
2019-02-02 15:00:00,153.005
2019-02-02 16:00:00,151.758
2019-02-02 17:00:00,155.872
2019-02-02 18:00:00,156.959
2019-02-02 19:00:00,151.084
2019-02-02 20:00:00,141.253
2019-02-02 21:00:00,126.04
2019-02-02 22:00:00,129.38
2019-02-02 23:00:00,130.019
2019-02-03 00:00:00,112.784
2019-02-03 01:00:00,109.371
2019-02-03 02:00:00,109.342
2019-02-03 03:00:00,108.563
2019-02-03 04:00:00,106.823
2019-02-03 05:00:00,106.642
2019-02-03 06:00:00,112.784
2019-02-03 07:00:00,117.855
2019-02-03 08:00:00,126.728
2019-02-03 09:00:00,127.391
2019-02-03 10:00:00,132.404
2019-02-03 11:00:00,129.692
2019-02-03 12:00:00,142.215
2019-02-03 13:00:00,138.485
2019-02-03 14:00:00,131.376
2019-02-03 15:00:00,127.103
2019-02-03 16:00:00,124.428
2019-02-03 17:00:00,117.84
2019-02-03 18:00:00,118.846
2019-02-03 19:00:00,119.552
2019-02-03 20:00:00,109.617
2019-02-03 21:00:00,106.72
2019-02-03 22:00:00,103.756
2019-02-03 23:00:00,106.079
2019-02-04 00:00:00,110.897
2019-02-04 01:00:00,90.845
2019-02-04 02:00:00,86.339
2019-02-04 03:00:00,84.348
